number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
134,0.8295480225988701,2025-12-06 16:14:04.284827,2025-12-06 16:14:05.825768,0 days 00:00:01.540941,0.5727183261050066,0.07689818162906252,3,227,0.9584201706801864,COMPLETE
135,0.8251224105461393,2025-12-06 16:14:05.825844,2025-12-06 16:14:07.615570,0 days 00:00:01.789726,0.6125105139935224,0.13728903361726272,3,267,0.984784008799052,COMPLETE
136,0.8329001883239172,2025-12-06 16:14:07.615652,2025-12-06 16:14:08.841474,0 days 00:00:01.225822,0.5171067645941444,0.17144107075301518,3,179,0.9735952081487321,COMPLETE
137,0.829623352165725,2025-12-06 16:14:08.841553,2025-12-06 16:14:10.611655,0 days 00:00:01.770102,0.5567703577097723,0.11034030768739102,4,216,0.949767557935612,COMPLETE
138,0.8272693032015066,2025-12-06 16:14:10.611745,2025-12-06 16:14:12.242766,0 days 00:00:01.631021,0.6026839408757305,0.08695076128914739,3,243,0.9618448763160742,COMPLETE
139,0.836271186440678,2025-12-06 16:14:12.242844,2025-12-06 16:14:13.453693,0 days 00:00:01.210849,0.5881817542552944,0.15288946933109274,3,168,0.9394193044521174,COMPLETE
140,0.8250470809792844,2025-12-06 16:14:13.453772,2025-12-06 16:14:14.648516,0 days 00:00:01.194744,0.5875557631207726,0.1524895212250429,3,169,0.9301978222236494,COMPLETE
141,0.8284180790960451,2025-12-06 16:14:14.648607,2025-12-06 16:14:16.028085,0 days 00:00:01.379478,0.5683796926410739,0.14570918319683018,3,160,0.9411835090728193,COMPLETE
142,0.8385499058380415,2025-12-06 16:14:16.028171,2025-12-06 16:14:17.299683,0 days 00:00:01.271512,0.9540176194587685,0.16292160373750572,3,171,0.9160703112980313,COMPLETE
143,0.826120527306968,2025-12-06 16:14:17.299761,2025-12-06 16:14:18.777384,0 days 00:00:01.477623,0.9554652110007801,0.15972388832096132,3,166,0.9244955337913894,COMPLETE
144,0.8239171374764594,2025-12-06 16:14:18.777467,2025-12-06 16:14:20.445899,0 days 00:00:01.668432,0.994455751156229,0.1814319790212776,3,178,0.9120894706991998,COMPLETE
