number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_n_estimators,params_num_leaves,state
16,0.8203389830508475,2025-11-22 18:45:23.458805,2025-11-22 18:45:38.911431,0 days 00:00:15.452626,0.03400934835896553,7,372,163,COMPLETE
17,0.8327118644067798,2025-11-22 18:45:38.911547,2025-11-22 18:45:44.066289,0 days 00:00:05.154742,0.07094569791099628,5,215,196,COMPLETE
18,0.8371939736346516,2025-11-22 18:45:44.066391,2025-11-22 18:45:48.240750,0 days 00:00:04.174359,0.06506002418324397,7,104,198,COMPLETE
19,0.8204143126177024,2025-11-22 18:45:48.240826,2025-11-22 18:45:53.303183,0 days 00:00:05.062357,0.057839275083507495,9,107,198,COMPLETE
20,0.8147080979284369,2025-11-22 18:45:53.303259,2025-11-22 18:46:14.439705,0 days 00:00:21.136446,0.05470556427109777,12,390,197,COMPLETE
21,0.8203954802259886,2025-11-22 18:46:14.440320,2025-11-22 18:46:21.101118,0 days 00:00:06.660798,0.08103382234559872,7,192,175,COMPLETE
22,0.8293596986817326,2025-11-22 18:46:21.101229,2025-11-22 18:46:24.389427,0 days 00:00:03.288198,0.10020375961118419,5,125,150,COMPLETE
23,0.8180790960451979,2025-11-22 18:46:24.389548,2025-11-22 18:46:31.038064,0 days 00:00:06.648516,0.06625493561079061,7,187,184,COMPLETE
24,0.8180790960451977,2025-11-22 18:46:31.038224,2025-11-22 18:46:35.520748,0 days 00:00:04.482524,0.13839291637466714,4,249,144,COMPLETE
25,0.818060263653484,2025-11-22 18:46:35.520834,2025-11-22 18:46:40.311311,0 days 00:00:04.790477,0.18554092981262732,6,163,93,COMPLETE
26,0.8293220338983052,2025-11-22 18:46:40.311450,2025-11-22 18:46:45.706570,0 days 00:00:05.395120,0.04473543048760868,4,296,183,COMPLETE
27,0.8259510357815444,2025-11-22 18:46:45.706691,2025-11-22 18:46:51.923901,0 days 00:00:06.217210,0.07234346098809276,8,160,156,COMPLETE
28,0.822617702448211,2025-11-22 18:46:51.923977,2025-11-22 18:47:01.304891,0 days 00:00:09.380914,0.10086152036581249,5,422,86,COMPLETE
29,0.8192655367231637,2025-11-22 18:47:01.305011,2025-11-22 18:47:05.119238,0 days 00:00:03.814227,0.16923461543493484,7,107,47,COMPLETE
30,0.8113747645951036,2025-11-22 18:47:05.119336,2025-11-22 18:47:18.350462,0 days 00:00:13.231126,0.26823736982509383,9,331,138,COMPLETE
31,0.83045197740113,2025-11-22 18:47:18.350554,2025-11-22 18:47:26.227606,0 days 00:00:07.877052,0.02197290875504168,5,231,120,COMPLETE
32,0.8293785310734463,2025-11-22 18:47:26.227723,2025-11-22 18:47:35.228799,0 days 00:00:09.001076,0.03423587039220879,6,277,53,COMPLETE
33,0.8237476459510359,2025-11-22 18:47:35.229325,2025-11-22 18:47:38.455618,0 days 00:00:03.226293,0.04127886969410261,4,140,186,COMPLETE
34,0.8293596986817326,2025-11-22 18:47:38.455694,2025-11-22 18:47:45.531586,0 days 00:00:07.075892,0.027505157119339006,5,256,114,COMPLETE
35,0.8248587570621468,2025-11-22 18:47:45.531693,2025-11-22 18:47:53.539633,0 days 00:00:08.007940,0.01666966686743877,6,204,200,COMPLETE
36,0.8203578154425613,2025-11-22 18:47:53.539770,2025-11-22 18:47:58.484688,0 days 00:00:04.944918,0.10100220797657719,6,175,20,COMPLETE
37,0.821431261770245,2025-11-22 18:47:58.484802,2025-11-22 18:48:16.353128,0 days 00:00:17.868326,0.0610129548622986,5,793,83,COMPLETE
38,0.8260075329566856,2025-11-22 18:48:16.353226,2025-11-22 18:48:19.298961,0 days 00:00:02.945735,0.04626983805691071,4,139,55,COMPLETE
39,0.8147457627118644,2025-11-22 18:48:19.299070,2025-11-22 18:48:36.483873,0 days 00:00:17.184803,0.08782559028363922,7,519,173,COMPLETE
40,0.8057627118644068,2025-11-22 18:48:36.483957,2025-11-22 18:48:47.401770,0 days 00:00:10.917813,0.11482997431741901,9,265,76,COMPLETE
41,0.8259510357815444,2025-11-22 18:48:47.401885,2025-11-22 18:48:54.160924,0 days 00:00:06.759039,0.01868306898242307,5,232,132,COMPLETE
42,0.822598870056497,2025-11-22 18:48:54.161042,2025-11-22 18:49:02.091548,0 days 00:00:07.930506,0.02217622772651542,6,221,111,COMPLETE
43,0.8170244821092278,2025-11-22 18:49:02.091698,2025-11-22 18:49:06.582924,0 days 00:00:04.491226,0.012368288863599718,3,319,124,COMPLETE
44,0.8281732580037666,2025-11-22 18:49:06.583041,2025-11-22 18:49:12.339256,0 days 00:00:05.756215,0.01441772167463061,5,168,119,COMPLETE
45,0.8204143126177024,2025-11-22 18:49:12.339392,2025-11-22 18:49:16.853069,0 days 00:00:04.513677,0.022504611134107715,6,106,102,COMPLETE
