number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
43,0.8329755178907724,2025-12-06 15:41:13.036146,2025-12-06 15:41:19.980163,0 days 00:00:06.944017,10,,2,13,92,COMPLETE
44,0.8274011299435029,2025-12-06 15:41:19.980219,2025-12-06 15:41:28.075180,0 days 00:00:08.094961,10,,3,14,111,COMPLETE
45,0.8319020715630887,2025-12-06 15:41:28.075258,2025-12-06 15:41:34.519272,0 days 00:00:06.444014,9,,2,13,88,COMPLETE
46,0.8329755178907721,2025-12-06 15:41:34.519327,2025-12-06 15:41:40.014188,0 days 00:00:05.494861,8,,2,13,76,COMPLETE
47,0.826271186440678,2025-12-06 15:41:40.014261,2025-12-06 15:41:45.511298,0 days 00:00:05.497037,7,,5,16,76,COMPLETE
48,0.8206026365348399,2025-12-06 15:41:45.511354,2025-12-06 15:41:49.163040,0 days 00:00:03.651686,9,sqrt,2,15,84,COMPLETE
49,0.8285499058380416,2025-12-06 15:41:49.163094,2025-12-06 15:41:55.659734,0 days 00:00:06.496640,8,,3,19,90,COMPLETE
50,0.8295856873822977,2025-12-06 15:41:55.659832,2025-12-06 15:41:59.634238,0 days 00:00:03.974406,5,,2,14,59,COMPLETE
51,0.8296045197740114,2025-12-06 15:41:59.634294,2025-12-06 15:42:07.636590,0 days 00:00:08.002296,10,,2,13,106,COMPLETE
52,0.8307156308851223,2025-12-06 15:42:07.636666,2025-12-06 15:42:20.409926,0 days 00:00:12.773260,7,,1,13,181,COMPLETE
53,0.8285122410546141,2025-12-06 15:42:20.409981,2025-12-06 15:42:27.619976,0 days 00:00:07.209995,9,,3,11,98,COMPLETE
54,0.8296233521657252,2025-12-06 15:42:27.620032,2025-12-06 15:42:37.009925,0 days 00:00:09.389893,11,,2,13,126,COMPLETE
55,0.8284934086629002,2025-12-06 15:42:37.009988,2025-12-06 15:42:42.438624,0 days 00:00:05.428636,20,,1,15,69,COMPLETE
56,0.8340677966101695,2025-12-06 15:42:42.438720,2025-12-06 15:42:52.180695,0 days 00:00:09.741975,8,,1,14,137,COMPLETE
57,0.8274011299435029,2025-12-06 15:42:52.180750,2025-12-06 15:43:01.357910,0 days 00:00:09.177160,6,,3,16,142,COMPLETE
58,0.8273634651600754,2025-12-06 15:43:01.357965,2025-12-06 15:43:09.704388,0 days 00:00:08.346423,7,,2,14,118,COMPLETE
59,0.8284934086629004,2025-12-06 15:43:09.704465,2025-12-06 15:43:14.564837,0 days 00:00:04.860372,8,,1,17,67,COMPLETE
60,0.8239924670433145,2025-12-06 15:43:14.564901,2025-12-06 15:43:20.271804,0 days 00:00:05.706903,10,log2,2,11,137,COMPLETE
61,0.8284745762711865,2025-12-06 15:43:20.271858,2025-12-06 15:43:23.887509,0 days 00:00:03.615651,8,,1,13,50,COMPLETE
62,0.8295856873822977,2025-12-06 15:43:23.887586,2025-12-06 15:43:36.295314,0 days 00:00:12.407728,18,,1,15,160,COMPLETE
63,0.8273634651600754,2025-12-06 15:43:36.295395,2025-12-06 15:43:42.540904,0 days 00:00:06.245509,6,,2,10,94,COMPLETE
64,0.8306967984934087,2025-12-06 15:43:42.540958,2025-12-06 15:43:49.356910,0 days 00:00:06.815952,10,,1,13,82,COMPLETE
65,0.8273634651600754,2025-12-06 15:43:49.356966,2025-12-06 15:44:10.334516,0 days 00:00:20.977550,17,,7,14,295,COMPLETE
66,0.8318455743879473,2025-12-06 15:44:10.334573,2025-12-06 15:44:17.902141,0 days 00:00:07.567568,9,,1,12,101,COMPLETE
67,0.8206214689265536,2025-12-06 15:44:17.902201,2025-12-06 15:44:24.951331,0 days 00:00:07.049130,19,sqrt,2,14,168,COMPLETE
68,0.8239359698681732,2025-12-06 15:44:24.951390,2025-12-06 15:44:29.472763,0 days 00:00:04.521373,4,,1,11,75,COMPLETE
69,0.8329566854990584,2025-12-06 15:44:29.472825,2025-12-06 15:44:38.656625,0 days 00:00:09.183800,20,,2,12,117,COMPLETE
70,0.8274387947269303,2025-12-06 15:44:38.656703,2025-12-06 15:44:47.505700,0 days 00:00:08.848997,11,,4,9,119,COMPLETE
71,0.83075329566855,2025-12-06 15:44:47.505755,2025-12-06 15:44:54.399241,0 days 00:00:06.893486,20,,2,12,89,COMPLETE
72,0.8307344632768363,2025-12-06 15:44:54.399296,2025-12-06 15:45:02.807743,0 days 00:00:08.408447,18,,2,12,104,COMPLETE
73,0.8262711864406779,2025-12-06 15:45:02.807798,2025-12-06 15:45:24.513268,0 days 00:00:21.705470,19,,3,13,291,COMPLETE
74,0.8307344632768363,2025-12-06 15:45:24.513324,2025-12-06 15:45:33.505532,0 days 00:00:08.992208,20,,1,13,112,COMPLETE
75,0.8329566854990583,2025-12-06 15:45:33.505595,2025-12-06 15:45:43.958709,0 days 00:00:10.453114,19,,1,15,132,COMPLETE
76,0.8307156308851226,2025-12-06 15:45:43.958773,2025-12-06 15:45:55.448119,0 days 00:00:11.489346,16,,2,15,151,COMPLETE
77,0.8161581920903955,2025-12-06 15:45:55.448175,2025-12-06 15:46:01.634189,0 days 00:00:06.186014,17,log2,1,15,138,COMPLETE
78,0.8318267419962334,2025-12-06 15:46:01.634245,2025-12-06 15:46:12.860296,0 days 00:00:11.226051,9,,1,16,150,COMPLETE
79,0.828512241054614,2025-12-06 15:46:12.860350,2025-12-06 15:46:22.747553,0 days 00:00:09.887203,20,,3,14,132,COMPLETE
80,0.8240489642184557,2025-12-06 15:46:22.747608,2025-12-06 15:46:26.359870,0 days 00:00:03.612262,19,sqrt,2,18,83,COMPLETE
81,0.8284745762711866,2025-12-06 15:46:26.359927,2025-12-06 15:46:33.989259,0 days 00:00:07.629332,18,,1,12,95,COMPLETE
82,0.832975517890772,2025-12-06 15:46:33.989312,2025-12-06 15:46:57.083410,0 days 00:00:23.094098,20,,1,13,290,COMPLETE
83,0.8329755178907721,2025-12-06 15:46:57.083469,2025-12-06 15:47:12.137160,0 days 00:00:15.053691,19,,1,14,190,COMPLETE
84,0.8318644067796609,2025-12-06 15:47:12.137215,2025-12-06 15:47:29.083462,0 days 00:00:16.946247,19,,1,14,214,COMPLETE
85,0.8296233521657251,2025-12-06 15:47:29.083546,2025-12-06 15:47:44.963076,0 days 00:00:15.879530,20,,1,12,196,COMPLETE
86,0.8341054613935969,2025-12-06 15:47:44.963143,2025-12-06 15:48:06.490136,0 days 00:00:21.526993,19,,1,15,271,COMPLETE
87,0.830734463276836,2025-12-06 15:48:06.490226,2025-12-06 15:48:27.328872,0 days 00:00:20.838646,18,,1,17,269,COMPLETE
88,0.8295856873822977,2025-12-06 15:48:27.328933,2025-12-06 15:48:36.919901,0 days 00:00:09.590968,19,,1,15,122,COMPLETE
89,0.8285499058380414,2025-12-06 15:48:36.919982,2025-12-06 15:48:53.432897,0 days 00:00:16.512915,16,,9,16,247,COMPLETE
90,0.8262146892655368,2025-12-06 15:48:53.432953,2025-12-06 15:49:06.808279,0 days 00:00:13.375326,17,,2,15,177,COMPLETE
91,0.8340866290018831,2025-12-06 15:49:06.808337,2025-12-06 15:49:29.541203,0 days 00:00:22.732866,20,,1,14,291,COMPLETE
92,0.8340866290018831,2025-12-06 15:49:29.541259,2025-12-06 15:49:52.220253,0 days 00:00:22.678994,20,,1,14,291,COMPLETE
93,0.8340866290018831,2025-12-06 15:49:52.220309,2025-12-06 15:50:14.437675,0 days 00:00:22.217366,20,,1,14,290,COMPLETE
94,0.8340866290018831,2025-12-06 15:50:14.437749,2025-12-06 15:50:36.600029,0 days 00:00:22.162280,20,,1,14,290,COMPLETE
95,0.8363276836158191,2025-12-06 15:50:36.600084,2025-12-06 15:50:58.091857,0 days 00:00:21.491773,20,,1,14,274,COMPLETE
96,0.8183804143126178,2025-12-06 15:50:58.091926,2025-12-06 15:51:09.596182,0 days 00:00:11.504256,19,log2,1,14,263,COMPLETE
97,0.835216572504708,2025-12-06 15:51:09.596237,2025-12-06 15:51:31.788840,0 days 00:00:22.192603,20,,1,14,283,COMPLETE
98,0.8363276836158191,2025-12-06 15:51:31.788896,2025-12-06 15:51:53.336845,0 days 00:00:21.547949,20,,1,14,274,COMPLETE
99,0.8318832391713747,2025-12-06 15:51:53.336900,2025-12-06 15:52:15.221579,0 days 00:00:21.884679,20,,1,16,281,COMPLETE
100,0.8172693032015066,2025-12-06 15:52:15.221703,2025-12-06 15:52:27.242151,0 days 00:00:12.020448,20,sqrt,1,14,274,COMPLETE
101,0.8340866290018831,2025-12-06 15:52:27.242206,2025-12-06 15:52:50.328398,0 days 00:00:23.086192,20,,1,14,294,COMPLETE
102,0.8340866290018831,2025-12-06 15:52:50.328453,2025-12-06 15:53:13.709625,0 days 00:00:23.381172,20,,1,14,295,COMPLETE
103,0.8340866290018831,2025-12-06 15:53:13.709680,2025-12-06 15:53:36.894188,0 days 00:00:23.184508,20,,1,14,296,COMPLETE
104,0.8341054613935969,2025-12-06 15:53:36.894256,2025-12-06 15:54:00.066502,0 days 00:00:23.172246,20,,1,15,294,COMPLETE
105,0.835216572504708,2025-12-06 15:54:00.066567,2025-12-06 15:54:22.584928,0 days 00:00:22.518361,20,,1,15,284,COMPLETE
106,0.830734463276836,2025-12-06 15:54:22.585004,2025-12-06 15:54:44.186867,0 days 00:00:21.601863,19,,1,17,278,COMPLETE
107,0.8329943502824858,2025-12-06 15:54:44.186923,2025-12-06 15:55:06.573719,0 days 00:00:22.386796,19,,1,16,284,COMPLETE
108,0.8329943502824858,2025-12-06 15:55:06.573777,2025-12-06 15:55:27.453924,0 days 00:00:20.880147,20,,1,15,265,COMPLETE
109,0.8273822975517892,2025-12-06 15:55:27.453980,2025-12-06 15:55:46.303966,0 days 00:00:18.849986,18,,6,15,270,COMPLETE
110,0.8318644067796609,2025-12-06 15:55:46.304023,2025-12-06 15:56:06.395316,0 days 00:00:20.091293,20,,1,16,257,COMPLETE
111,0.8240301318267421,2025-12-06 15:56:06.395376,2025-12-06 15:56:30.846270,0 days 00:00:24.450894,20,,1,4,292,COMPLETE
112,0.835216572504708,2025-12-06 15:56:30.846323,2025-12-06 15:56:53.492214,0 days 00:00:22.645891,19,,1,14,286,COMPLETE
113,0.8329755178907721,2025-12-06 15:56:53.492293,2025-12-06 15:57:17.353217,0 days 00:00:23.860924,19,,1,15,299,COMPLETE
114,0.835216572504708,2025-12-06 15:57:17.353280,2025-12-06 15:57:39.904073,0 days 00:00:22.550793,19,,1,14,283,COMPLETE
115,0.8284934086629002,2025-12-06 15:57:39.904138,2025-12-06 15:57:59.352400,0 days 00:00:19.448262,18,,7,15,284,COMPLETE
116,0.8307532956685498,2025-12-06 15:57:59.352462,2025-12-06 15:58:19.883389,0 days 00:00:20.530927,19,,2,15,274,COMPLETE
117,0.8340866290018831,2025-12-06 15:58:19.883445,2025-12-06 15:58:42.617819,0 days 00:00:22.734374,19,,1,14,288,COMPLETE
118,0.8318832391713747,2025-12-06 15:58:42.617884,2025-12-06 15:59:04.331580,0 days 00:00:21.713696,20,,1,16,279,COMPLETE
119,0.8127871939736347,2025-12-06 15:59:04.331646,2025-12-06 15:59:16.040342,0 days 00:00:11.708696,18,log2,1,15,272,COMPLETE
120,0.830734463276836,2025-12-06 15:59:16.040405,2025-12-06 15:59:35.944978,0 days 00:00:19.904573,20,,2,13,260,COMPLETE
121,0.8340866290018831,2025-12-06 15:59:35.945035,2025-12-06 15:59:58.815030,0 days 00:00:22.869995,20,,1,14,290,COMPLETE
122,0.835216572504708,2025-12-06 15:59:58.815104,2025-12-06 16:00:21.273218,0 days 00:00:22.458114,20,,1,14,283,COMPLETE
123,0.8340866290018831,2025-12-06 16:00:21.273290,2025-12-06 16:00:44.954854,0 days 00:00:23.681564,19,,1,14,300,COMPLETE
124,0.832975517890772,2025-12-06 16:00:44.954922,2025-12-06 16:01:07.303095,0 days 00:00:22.348173,19,,1,13,283,COMPLETE
125,0.835216572504708,2025-12-06 16:01:07.303176,2025-12-06 16:01:29.203932,0 days 00:00:21.900756,20,,1,15,280,COMPLETE
126,0.8341054613935969,2025-12-06 16:01:29.203993,2025-12-06 16:01:51.209718,0 days 00:00:22.005725,20,,1,15,279,COMPLETE
127,0.817231638418079,2025-12-06 16:01:51.209774,2025-12-06 16:02:03.127619,0 days 00:00:11.917845,19,sqrt,2,17,279,COMPLETE
128,0.8329943502824858,2025-12-06 16:02:03.127675,2025-12-06 16:02:24.191874,0 days 00:00:21.064199,18,,1,15,266,COMPLETE
129,0.8329943502824858,2025-12-06 16:02:24.191930,2025-12-06 16:02:43.769441,0 days 00:00:19.577511,20,,1,16,250,COMPLETE
130,0.8307532956685498,2025-12-06 16:02:43.769498,2025-12-06 16:03:04.801378,0 days 00:00:21.031880,19,,2,15,277,COMPLETE
131,0.835216572504708,2025-12-06 16:03:04.801435,2025-12-06 16:03:26.524238,0 days 00:00:21.722803,20,,1,15,285,COMPLETE
132,0.835216572504708,2025-12-06 16:03:26.524299,2025-12-06 16:03:48.223077,0 days 00:00:21.698778,20,,1,15,284,COMPLETE
133,0.8329943502824858,2025-12-06 16:03:48.223133,2025-12-06 16:04:10.226850,0 days 00:00:22.003717,20,,1,16,284,COMPLETE
134,0.8329943502824858,2025-12-06 16:04:10.226904,2025-12-06 16:04:31.587306,0 days 00:00:21.360402,19,,1,15,274,COMPLETE
135,0.8329943502824858,2025-12-06 16:04:31.587391,2025-12-06 16:04:52.691867,0 days 00:00:21.104476,20,,1,16,270,COMPLETE
136,0.835216572504708,2025-12-06 16:04:52.691924,2025-12-06 16:05:14.866893,0 days 00:00:22.174969,19,,1,15,281,COMPLETE
137,0.8329943502824858,2025-12-06 16:05:14.866949,2025-12-06 16:05:35.252148,0 days 00:00:20.385199,19,,1,15,259,COMPLETE
