iter	Logloss
0	0.6891158083
1	0.6846896583
2	0.6808414404
3	0.6770427476
4	0.6738047981
5	0.6704315374
6	0.6669256528
7	0.6633235498
8	0.6594566732
9	0.6556516393
10	0.6521333216
11	0.648750529
12	0.6445784871
13	0.6413253901
14	0.6379801559
15	0.6343189519
16	0.6311815274
17	0.6273312552
18	0.6245558594
19	0.6211006502
20	0.6177206909
21	0.6144919999
22	0.6110420118
23	0.6087598163
24	0.6061550601
25	0.6030077016
26	0.5999369737
27	0.5975989805
28	0.5950740775
29	0.5923540791
30	0.5900859895
31	0.5880028864
32	0.5852576573
33	0.5831538482
34	0.5800128498
35	0.5775468547
36	0.5751234289
37	0.5733267791
38	0.5711464968
39	0.5692653211
40	0.5671148666
41	0.5645964989
42	0.5629914172
43	0.5611458712
44	0.5587822861
45	0.5569082736
46	0.5547770833
47	0.5530299703
48	0.5512269125
49	0.5492986954
50	0.5465609585
51	0.544790702
52	0.5429710353
53	0.5405398193
54	0.5387064148
55	0.5370371516
56	0.5349065673
57	0.5336306263
58	0.5320874128
59	0.5305237104
60	0.5284965497
61	0.526963065
62	0.5252937569
63	0.5240481017
64	0.5226565842
65	0.5207862219
66	0.5195015493
67	0.5181918325
68	0.5168206844
69	0.5154671257
70	0.5141875437
71	0.5131118828
72	0.5114035667
73	0.509621779
74	0.5080821866
75	0.5066184136
76	0.505343347
77	0.503869762
78	0.5028165683
79	0.501272992
80	0.5003744416
81	0.4992000379
82	0.4981352214
83	0.4965676595
84	0.4956606207
85	0.4937110219
86	0.4923094961
87	0.491278027
88	0.4900686719
89	0.4891622566
90	0.4883578634
91	0.4877027238
92	0.4866296362
93	0.4857283534
94	0.4842221315
95	0.4833338808
96	0.4826396838
97	0.4820039747
98	0.4812492656
99	0.4804700263
100	0.4796670839
101	0.4785297664
102	0.4776289858
103	0.4769131484
104	0.4760412201
105	0.474881228
106	0.4738809176
107	0.4731102654
108	0.4718854661
109	0.471220151
110	0.4706628029
111	0.469742151
112	0.4686899267
113	0.4680545474
114	0.4671015766
115	0.4660434705
116	0.4653931356
117	0.4647619273
118	0.4643413962
119	0.4635306296
120	0.4627541602
121	0.461678506
122	0.4607264199
123	0.4596606595
124	0.4591314053
125	0.4580901367
126	0.4573978636
127	0.4564850013
128	0.4560473837
129	0.4553480913
130	0.4547626305
131	0.4538133562
132	0.4531323445
133	0.452513907
134	0.4516037436
135	0.4510028659
136	0.4502866125
137	0.4496816784
138	0.4492562402
139	0.4489735518
140	0.4483623306
141	0.4476885906
142	0.4472524974
143	0.4467833004
144	0.4462203719
145	0.4453932409
146	0.4448248239
147	0.4443045602
148	0.4438588545
149	0.4432690412
150	0.4427653707
151	0.442261471
152	0.4415363792
153	0.4412596368
154	0.4405415861
155	0.4402486178
156	0.4396265528
157	0.4387905547
158	0.4384402307
159	0.4379539408
160	0.4375839959
161	0.437315186
162	0.4370355611
163	0.4366990032
164	0.4365267469
165	0.435927214
166	0.4354572344
167	0.4351542519
168	0.4348776213
169	0.4345941256
170	0.434057835
171	0.4337899831
172	0.4333964199
173	0.4329354425
174	0.4325722075
175	0.432080878
176	0.4317386376
177	0.4314822544
178	0.4311277056
179	0.430731373
180	0.4303932081
181	0.4301241535
182	0.4297549107
183	0.4294344982
184	0.4291997991
185	0.4287891063
186	0.4286399756
187	0.4281659836
188	0.4278269056
189	0.4275892588
190	0.4273460449
191	0.4270761614
192	0.4267468599
193	0.4263489105
194	0.4260878717
195	0.4258389331
196	0.4255774972
197	0.4252158216
198	0.4248171372
199	0.4241837789
200	0.4238874538
201	0.4235292468
202	0.4232813715
203	0.4229201973
204	0.4226469446
205	0.422192785
206	0.4218598712
207	0.421782092
208	0.4215509023
209	0.4212381082
210	0.4210757529
